code_departement,nb_ve_electrique,NB_VP_RECHARGEABLES_GAZ,LIBGEO,nb_bornes_publiques,puissance_moyenne,id_station,ratio_ve_par_borne
50,15067,27,AGNEAUX,1.0,7.36,1.0,15067.0
88,9172,22,LES ABLEUVENETTES,1.0,11.0,1.0,9172.0
71,13276,26,AMEUGNY,5.0,350.0,1.0,2655.2
54,20975,55,ABAUCOURT,8.0,22.0,4.0,2621.875
32,5680,6,ANTRAS,4.0,7.0,2.0,1420.0
49,22580,93,TUFFALUN,16.0,350.0,3.0,1411.25
64,20007,51,ABÈRE,16.0,101.0,8.0,1250.4375
47,9261,28,AGMÉ,8.0,131.33333333333334,3.0,1157.625
93,50907,755,AUBERVILLIERS,46.0,8.633333333333333,24.0,1106.6739130434783
87,9462,12,BERSAC-SUR-RIVALIER,9.0,350.0,2.0,1051.3333333333333
19,6094,8,AIX,6.0,22.0,4.0,1015.6666666666666
40,12934,36,BANOS,14.0,186.0,4.0,923.8571428571429
27,17688,20,AIGLEVILLE,20.0,7.36,4.0,884.4
82,7813,10,ALBEFEUILLE-LAGARDE,9.0,121.33333333333333,3.0,868.1111111111111
80,13040,16,ACHEUX-EN-VIMEU,21.0,87.664,5.0,620.952380952381
36,3619,3,AIGURANDE,6.0,23.04,2.0,603.1666666666666
24,10899,13,ABJAT-SUR-BANDIAT,20.0,22.0,6.0,544.95
78,105249,94,BAZEMONT,214.0,18.65,120.0,491.81775700934577
68,29299,108,ASPACH-MICHELBACH,67.0,16.90031746031746,63.0,437.2985074626866
63,19088,48,AMBERT,49.0,64.73142857142857,7.0,389.55102040816325
97,34298,14,CAPESTERRE-DE-MARIE-GALANTE,100.0,7.360000000000001,10.0,342.98
08,6306,17,ACY-ROMANCE,20.0,22.08,4.0,315.3
23,1866,2,ARRÈNES,6.0,23.04,2.0,311.0
52,3066,6,ANNONVILLE,10.0,350.0,2.0,306.6
69,75414,235,AMBÉRIEUX,274.0,30.10870588235294,85.0,275.2335766423358
94,36120,83,ALFORTVILLE,134.0,17.26918918918919,37.0,269.55223880597015
39,6697,10,ABERGEMENT-LE-GRAND,25.0,87.664,5.0,267.88
77,46840,169,ACHÈRES-LA-FORÊT,182.0,13.937560975609758,82.0,257.3626373626374
57,32315,68,ALBESTROFF,126.0,22.795087719298245,57.0,256.468253968254
72,12918,19,ARNAGE,51.0,117.86666666666666,15.0,253.2941176470588
14,23190,28,ARGENCES,106.0,11.565714285714284,14.0,218.77358490566039
17,20828,13,AGUDELLE,98.0,58.77777777777778,18.0,212.53061224489795
51,17323,30,SAINT-MARTIN-D'ABLOIS,92.0,45.52571428571429,28.0,188.29347826086956
33,56712,76,AMBÈS,312.0,33.01103448275862,58.0,181.76923076923077
45,19409,28,ADON,110.0,28.833333333333332,54.0,176.44545454545454
21,15314,21,AISEY-SUR-SEINE,88.0,86.18,20.0,174.02272727272728
18,6397,25,ARÇAY,38.0,45.50285714285714,28.0,168.3421052631579
67,41989,227,ALTENHEIM,253.0,30.046829268292683,41.0,165.96442687747034
95,40287,70,BELLOY-EN-FRANCE,252.0,15.856170212765958,47.0,159.86904761904762
01,25062,52,ARTEMARE,193.0,37.78253521126761,71.0,129.85492227979276
2B,14412,3,AGHIONE,111.0,18.38774193548387,31.0,129.83783783783784
53,7913,20,ANDOUILLÉ,69.0,53.364,10.0,114.68115942028986
84,20327,37,BOLLÈNE,200.0,28.453584905660378,53.0,101.635
31,54820,117,ALAN,626.0,23.415730337078653,178.0,87.57188498402556
43,5357,13,AIGUILHE,64.0,22.375,32.0,83.703125
28,11629,4,ABONDANT,141.0,26.99236641221374,131.0,82.47517730496453
35,31687,56,VAL-COUESNON,420.0,24.800761904761902,210.0,75.4452380952381
92,118220,980,FONTENAY-AUX-ROSES,1584.0,12.647038123167157,341.0,74.63383838383838
13,83377,255,AUREILLE,1168.0,21.154640522875816,612.0,71.38441780821918
