"Année","Trimestre","Mois","Typologie","Nombre"
"2025","T3","2025 T3","Accessible au public",179876
"2025","T3","2025 T3","Particulier",1487485
"2025","T3","2025 T3","Société",1010410
"2025","T2","2025 T2","Accessible au public",169559
"2025","T2","2025 T2","Particulier",1429635
"2025","T2","2025 T2","Société",987955
"2025","T1","2025 T1","Accessible au public",163656
"2025","T1","2025 T1","Particulier",1365096
"2025","T1","2025 T1","Société",937964
"2024","T4","2024 T4","Accessible au public",154694
"2024","T4","2024 T4","Particulier",1303676
"2024","T4","2024 T4","Société",895349
"2024","T3","2024 T3","Accessible au public",149668
"2024","T3","2024 T3","Particulier",1227381
"2024","T3","2024 T3","Société",835470
"2024","T2","2024 T2","Accessible au public",138887
"2024","T2","2024 T2","Particulier",1168406
"2024","T2","2024 T2","Société",800968
"2024","T1","2024 T1","Accessible au public",127287
"2024","T1","2024 T1","Particulier",1088707
"2024","T1","2024 T1","Société",754910
"2023","T4","2023 T4","Accessible au public",118009
"2023","T4","2023 T4","Particulier",1006194
"2023","T4","2023 T4","Société",709135
"2023","T3","2023 T3","Accessible au public",109856
"2023","T3","2023 T3","Particulier",906038
"2023","T3","2023 T3","Société",652118
"2023","T2","2023 T2","Accessible au public",101681
"2023","T2","2023 T2","Particulier",837342
"2023","T2","2023 T2","Société",599947
"2023","T1","2023 T1","Accessible au public",95755
"2023","T1","2023 T1","Particulier",762732
"2023","T1","2023 T1","Société",540904
"2022","T4","2022 T4","Accessible au public",82107
"2022","T4","2022 T4","Particulier",689150
"2022","T4","2022 T4","Société",493414
"2022","T3","2022 T3","Accessible au public",71630
"2022","T3","2022 T3","Particulier",624958
"2022","T3","2022 T3","Société",446373
"2022","T2","2022 T2","Accessible au public",64546
"2022","T2","2022 T2","Particulier",576820
"2022","T2","2022 T2","Société",420580
"2022","T1","2022 T1","Accessible au public",57733
"2022","T1","2022 T1","Particulier",516576
"2022","T1","2022 T1","Société",392333
"2021","T4","2021 T4","Accessible au public",50544
"2021","T4","2021 T4","Particulier",466539
"2021","T4","2021 T4","Société",368205
"2021","T3","2021 T3","Accessible au public",46014
"2021","T3","2021 T3","Particulier",403459
"2021","T3","2021 T3","Société",331853
"2021","T2","2021 T2","Accessible au public",40279
"2021","T2","2021 T2","Particulier",360357
"2021","T2","2021 T2","Société",307157
"2021","T1","2021 T1","Accessible au public",36999
"2021","T1","2021 T1","Particulier",308218
"2021","T1","2021 T1","Société",269233
"2020","T4","2020 T4","Accessible au public",34686
"2020","T4","2020 T4","Particulier",268403
"2020","T4","2020 T4","Société",237773
"2020","T3","2020 T3","Accessible au public",33369
"2020","T3","2020 T3","Particulier",223269
"2020","T3","2020 T3","Société",198363
"2020","T2","2020 T2","Accessible au public",32648
"2020","T2","2020 T2","Particulier",193685
"2020","T2","2020 T2","Société",180436
"2020","T1","2020 T1","Accessible au public",31081
"2020","T1","2020 T1","Particulier",173641
"2020","T1","2020 T1","Société",167741
"2019","T4","2019 T4","Accessible au public",30203
"2019","T4","2019 T4","Particulier",145313
"2019","T4","2019 T4","Société",136298
"2019","T3","2019 T3","Accessible au public",29545
"2019","T3","2019 T3","Particulier",133369
"2019","T3","2019 T3","Société",126326
"2019","T2","2019 T2","Accessible au public",27668
"2019","T2","2019 T2","Particulier",124395
"2019","T2","2019 T2","Société",119576
"2019","T1","2019 T1","Accessible au public",27516
"2019","T1","2019 T1","Particulier",116655
"2019","T1","2019 T1","Société",113643
"2018","T4","2018 T4","Accessible au public",26254
"2018","T4","2018 T4","Particulier",107727
"2018","T4","2018 T4","Société",105380
"2018","T3","2018 T3","Accessible au public",24319
"2018","T3","2018 T3","Particulier",97987
"2018","T3","2018 T3","Société",97075
"2018","T2","2018 T2","Accessible au public",22283
"2018","T2","2018 T2","Particulier",93312
"2018","T2","2018 T2","Société",91385
"2018","T1","2018 T1","Accessible au public",26325
"2018","T1","2018 T1","Particulier",87239
"2018","T1","2018 T1","Société",84890
"2017","T4","2017 T4","Accessible au public",19309
"2017","T4","2017 T4","Particulier",80488
"2017","T4","2017 T4","Société",79279
"2017","T3","2017 T3","Accessible au public",20688
"2017","T3","2017 T3","Particulier",74030
"2017","T3","2017 T3","Société",74060
"2017","T2","2017 T2","Accessible au public",19750
"2017","T2","2017 T2","Particulier",69095
"2017","T2","2017 T2","Société",69254
"2017","T1","2017 T1","Accessible au public",17423
"2017","T1","2017 T1","Particulier",63502
"2017","T1","2017 T1","Société",64066
"2016","T4","2016 T4","Accessible au public",16220
"2016","T4","2016 T4","Particulier",57554
"2016","T4","2016 T4","Société",59716
"2016","T3","2016 T3","Accessible au public",12859
"2016","T3","2016 T3","Particulier",52528
"2016","T3","2016 T3","Société",55587
"2016","T2","2016 T2","Accessible au public",13861
"2016","T2","2016 T2","Particulier",48863
"2016","T2","2016 T2","Société",52284
"2016","T1","2016 T1","Accessible au public",12830
"2016","T1","2016 T1","Particulier",43697
"2016","T1","2016 T1","Société",48253
"2015","T4","2015 T4","Accessible au public",11113
"2015","T4","2015 T4","Particulier",37731
"2015","T4","2015 T4","Société",42879
"2015","T3","2015 T3","Accessible au public",10928
"2015","T3","2015 T3","Particulier",32533
"2015","T3","2015 T3","Société",38671
"2015","T2","2015 T2","Accessible au public",10086
"2015","T2","2015 T2","Particulier",29913
"2015","T2","2015 T2","Société",37924
"2015","T1","2015 T1","Accessible au public",8478
"2015","T1","2015 T1","Particulier",25868
"2015","T1","2015 T1","Société",34739
